,MOFA_miRNA_Factor1,MOFA_miRNA_Factor2,MOFA_miRNA_Factor3,MOFA_miRNA_Factor4,MOFA_miRNA_Factor5
TCGA.A7.A13H,-1.3872634457998319,0.2906071715472934,-0.5842469455873526,0.7392095128677814,-0.19545972618101679
TCGA.A7.A26E,-1.6694782311887781,0.29219165503961636,-0.044648951339260265,-0.9555457014624406,-0.2925835042045257
TCGA.A7.A26F,1.2155945424204588,-0.2787841311619254,-0.2441303223037351,-1.0602654905099673,-0.7080310964871838
TCGA.A7.A26G,0.19576551737205522,1.3953340840689696,0.05576807742686039,-0.9946474310808296,7.876505593060167
TCGA.A7.A26H,-1.9882957949210338,-0.8527543571890039,-0.894820834535494,-2.180904809491024,-0.37769200496608146
TCGA.A7.A26I,2.1187781325103394,0.9114086884707179,0.047804064310775427,-1.4185039002912998,-0.8209903499756402
TCGA.A7.A26J,-0.8492392976564396,-0.0233288631679888,-0.24307186243166978,-0.7817752170027735,-0.3329217963716997
TCGA.A7.A2KD,-0.0009063033205323127,0.6884142457095731,-0.8635300661647254,-0.05602500443099463,-0.559895280779188
TCGA.A7.A3IY,0.7490289959692104,1.1072357831607913,0.1179632017987692,1.0121619484809155,-0.217994422030595
TCGA.A7.A3IZ,-1.524977170993256,-1.7502472846152963,-0.8129297564575039,0.46114290085216925,-0.3358739619380872
TCGA.A7.A3J0,-1.0523913610868725,-3.224515363760686,0.37195151440937335,0.11889791342901038,-0.293851547751041
TCGA.A7.A3J1,-1.81392453772735,-0.5575098551162971,-0.6659442247534744,0.7350744430978007,-0.1671274567444258
TCGA.A7.A3RF,-0.12969971821433401,-1.7469601523987521,0.185411748370324,0.04493821406302767,-0.4841817142837893
TCGA.A7.A425,-1.3978101478605809,-0.2645033060194448,-0.4915191004555577,0.5891654230359205,-0.044259410219283486
TCGA.A7.A426,-2.6306318029295235,-0.618133872000187,-0.669329833082996,0.47276753475513206,-0.17222476587587834
TCGA.A7.A4SA,-1.131331889194476,-1.1373824990398729,-0.49525511479603224,0.4558167101451621,-0.2610528721775892
TCGA.A7.A4SB,-2.2604293003129023,-1.865500939559841,0.014457831167896971,0.7046582499862851,-0.12103473234256328
TCGA.A7.A4SC,-2.337115099870515,-0.6012583462464235,-0.3556839687003676,0.4970680375435208,-0.034517008036567175
TCGA.A7.A4SD,0.08165512599491632,-0.8080059116525081,-1.2061421961764314,-0.02826022817454609,-0.6780672693242618
TCGA.A7.A4SE,0.1508306186476522,0.9428753346843716,-1.0814325977397683,-0.16170318308906542,4.9793465735785425
TCGA.A7.A4SF,-0.8846993383319807,-2.5046396601571805,-0.5240701801986847,-1.2114912874811115,-0.41782155376416347
TCGA.A7.A5ZV,2.0584242219969644,-2.0302524947857905,-2.33648615287562,1.4120146793686397,1.019205840782633
TCGA.A7.A5ZW,-2.545847218820661,1.3691896250651303,-0.8777571731576388,-0.36839928527813665,0.010073622272101693
TCGA.A7.A5ZX,-2.977746313459252,-0.7905960306502586,-0.49645062626106223,0.13555234996007393,-0.0891606381592594
TCGA.AC.A23C,-0.07569576346802032,0.4649814089010873,0.9664404272629767,-0.503636637537244,-0.3405988575658881
TCGA.AC.A23E,0.20375970289895676,1.4403506865697857,1.2407169495986283,-0.45076292475250707,-0.4678590337907545
TCGA.AC.A23G,-1.541587316310861,2.1178236820775354,-0.6845391674515604,-0.1178943867656516,-0.3966467126153872
TCGA.AC.A23H,1.1771789094476428,0.20606158386533854,0.6704496679358236,-1.6430828451664217,-0.7327656137722246
TCGA.AC.A2B8,-0.569474901359149,1.044139238460161,0.24764480500207278,-0.19791338877047002,-0.36501461446939737
TCGA.AC.A2BK,1.9078472082214921,-3.4093179334199637,-3.2924353641647857,1.463297475591334,-0.5958998434050754
TCGA.AC.A2BM,-0.6604465972127455,-0.059254891842229505,-0.8672422465480956,0.27493542363456247,-0.5599605800685501
TCGA.AC.A2FB,-0.6574909985988295,0.6720576936620439,-0.9830789047181889,0.8505517260338042,-0.08296372590495696
TCGA.AC.A2FE,-1.5825549031206156,1.3387842750858978,-1.2173943096735544,1.1647376072752524,-0.0862505512299626
TCGA.AC.A2FF,-1.558685932468408,1.3862465981845546,-0.34372610299155854,-0.32910059264125974,-0.1711811914713304
TCGA.AC.A2FG,-1.9831859070754232,-0.6162990491208356,0.647611856851584,-0.31295932182454644,-0.11151398086895034
TCGA.AC.A2FM,-1.2137197884469801,-0.06230864705645929,-1.032039732467326,0.6447756983240519,0.955984373063865
TCGA.AC.A2FO,-1.6443944070804066,0.32425191483767624,-1.0557231547382493,1.0072523760105576,-0.33303262262925787
TCGA.AC.A2QH,0.058460925981362814,6.2430092916553335,-2.3213470439311363,-1.353060004352123,-0.3707143263552261
TCGA.AC.A2QI,-1.8616106186258679,0.16311435414726988,-0.8010322911256307,0.3868771107225408,-0.119370990201045
TCGA.AC.A2QJ,-0.03113151350610647,3.075050916219443,-1.5687728978103022,-0.15142077026048895,0.4609542458887565
TCGA.AC.A3BB,-1.9823338986682757,1.3011943258294094,-1.041975254409436,1.0757446173286822,0.30874611061895596
TCGA.AC.A3EH,0.8549664601633877,1.7593892593506113,-0.22123453503155488,-0.4630759886799708,-0.7660269965334796
TCGA.AC.A3HN,-2.44561709486627,0.9213857501537926,-1.0531219163707608,0.25031536157648515,-0.2570698969249565
TCGA.AC.A3OD,-1.370226119191347,-0.982689915678871,-0.78538274314033,0.37188196731043976,-0.14286216861646286
TCGA.AC.A3QP,-1.4032288371240613,0.5891917541680252,-0.7731297754847127,0.23514544680486926,0.3071688057119701
TCGA.AC.A3QQ,-1.0565421999424864,0.3003830400548377,-0.4686458647035124,0.378012555784564,-0.31553876043760537
TCGA.AC.A3TM,-1.1575937781944277,0.536156554395692,-0.46591406870461194,-0.14065612554108808,0.42788534931065186
