,MOFA_methylation_Factor1,MOFA_methylation_Factor2,MOFA_methylation_Factor3,MOFA_methylation_Factor4,MOFA_methylation_Factor5
TCGA.BH.A0B6,0.40820713601233855,0.2773690114277122,-0.3426617006295967,-1.089563682006003,0.6470921984039727
TCGA.BH.A0BF,0.5892703358708178,1.158313651671806,-0.6737462750233199,-0.9303460890051347,1.11438279533036
TCGA.BH.A0BS,-1.5618997288612426,-2.7267703674715453,-0.02521028793104068,0.7208148951855525,0.9258278951663172
TCGA.BH.A0BZ,-0.8676491332008262,2.730718456461148,-1.2450308430536863,-2.1528335135247407,-0.3457661837126332
TCGA.BH.A0C3,0.9832886534844294,-0.3425159499829617,0.9531325216418994,-2.068574771812627,0.3260557208627983
TCGA.BH.A0DD,-2.9048208841535943,-0.6429158103940713,-2.9859223467929397,1.038052029726592,0.29606801933164906
TCGA.BH.A0DG,0.16256507592218727,1.1963727315596868,1.4420425439994184,-0.740398098374091,-0.24187805179898103
TCGA.BH.A0DI,0.5122908850568882,1.5809021190103922,1.1409136909192898,-0.15470397436125954,0.34922755891201074
TCGA.BH.A0DV,1.0714854453984601,-0.01067178915775177,1.336638988494936,-0.6198059370140218,1.1329528693725932
TCGA.BH.A0E2,-2.0546456234215134,0.9249021353967569,1.836292382507596,-0.01024981264457913,-2.4311196069063477
TCGA.BH.A0H3,-0.11283419350869267,0.1571556291398712,2.345647550758138,0.7020006409131675,0.42903901998545957
TCGA.BH.A0HA,-1.9711080328802484,-0.28059787559983324,2.248052415985541,-1.1842978482784756,-0.9580909869143754
TCGA.BH.A0HN,-2.69185512769752,-1.7505611509935075,-0.6367483205470987,0.6472741535671902,1.3277877350924883
TCGA.BH.A1EN,-1.5598310612704704,3.609337630880888,-3.122436725855756,0.48833952759304117,0.6610652923417106
TCGA.BH.A1EO,-1.2171716628479732,1.5096258261238638,-0.7744193976801781,-0.569682895492627,0.44302308089211345
TCGA.BH.A1ES,-2.116799206285176,0.28681783536865846,2.6018617951797056,-0.9440385098196314,-3.1024655958577676
TCGA.BH.A1ET,-1.3834354574761545,-1.9633311336883765,-0.16472980225574657,-0.32558169128839254,0.40793624884913593
TCGA.BH.A1EU,0.8827390004778529,-0.5416831725663583,1.2282952865512218,-0.6103480063620543,1.0437202201711369
TCGA.BH.A1EV,-1.273478095414439,0.17188278103339114,1.0941269705223757,1.9356105304726634,0.6571814824039975
TCGA.BH.A1EW,-0.47856885337708577,1.254946324281583,1.0338619095700432,-0.08114262254125677,0.46133512100482377
TCGA.BH.A1EX,-0.20120110220626136,-1.139633322787641,-1.8706220593636846,0.68435436780346,1.413006392525643
TCGA.BH.A1EY,0.0021160155858763498,0.6629713494936555,0.03130527604362416,0.2735585424552012,0.9623446144197639
TCGA.BH.A1F0,3.6235983530877673,0.14591666636937317,0.06486201078862208,-1.704987000418338,0.6769626306620146
TCGA.BH.A1F2,-1.106883852677276,-0.2543198304840995,-2.630276448413077,0.0068838022314446955,0.35911349416412675
TCGA.BH.A1F5,-2.0548503601508585,-2.470624474068473,0.2890350279112683,0.09434632602526016,-0.5635452541453976
TCGA.BH.A1F6,3.0539828616810163,2.8258294664082726,0.3938563622527348,0.4291539932822167,-0.5494983364762982
TCGA.BH.A1F8,-1.6373932470902675,-0.4404423344685931,-1.9769916712822395,0.8201669481931976,-1.2781832277197547
TCGA.BH.A1FB,2.055828591261088,-0.24488356537616138,1.5883460568055088,-0.8340664833270804,0.7754487040849265
TCGA.BH.A1FC,2.908660036906819,3.528772109197664,0.14873683322203485,0.9309953634266882,-0.1871478377771808
TCGA.BH.A1FE,0.8358058600504377,0.7375763500245754,0.08057817934497521,-0.9215390646522332,0.9485877817781571
TCGA.BH.A1FG,-1.7916435724865603,-1.6881678832285063,2.478613338481591,0.915612342963723,-0.49695144610311404
TCGA.BH.A1FH,1.8455913886307167,-0.629019953409474,1.8426664901678924,-0.13749330012936845,-0.057434416842955284
