,miRNA_PC1,miRNA_PC2,miRNA_PC3,miRNA_PC4,miRNA_PC5
TCGA.A7.A4SB,-16.500145054751748,-6.426295121788193,0.2566663741347626,0.22944400083374608,6.165821572323335
TCGA.A7.A4SC,-14.983894796642845,0.27639508623412845,-2.4805475213079897,-0.9206914061205511,5.721336561056971
TCGA.A7.A4SD,-1.1200023016693552,-4.909489552056754,-5.38774323081332,-1.2267161206458514,0.19387280254866715
TCGA.A7.A4SE,5.224617311108682,4.490103794135727,-11.854273362936095,-12.790037170154932,12.158321272391717
TCGA.A7.A4SF,-9.360103173910357,-12.930386813160458,-0.9865055535168714,-3.7363984142520623,-2.677906186422913
TCGA.A7.A5ZV,12.782124825124805,-10.628724528866156,-11.833925611198053,3.3077510166500788,2.9553326994567604
TCGA.A7.A5ZW,-14.91573351550452,9.269463120721296,-4.942120619882824,-3.0829745536397635,1.0764495189076424
TCGA.A7.A5ZX,-19.871354302887738,-0.06375144726230413,-2.505982248572093,-1.382578875822569,3.546551812702116
TCGA.AC.A23C,-0.4805089727042093,2.38738273401857,4.847681131795316,-1.9171931096370172,-0.9541349119331168
TCGA.AC.A23E,2.2603461827051357,8.114548427244232,6.360429966626478,-2.9875120973725355,-1.3383449747459766
TCGA.AC.A23G,-8.278701488024435,12.438529878093052,-3.67761816750556,0.16427545951041211,-1.1860671623907535
TCGA.AC.A23H,7.067174498765878,-2.3538608794474247,5.222126009300536,-2.9053988357930627,-8.870385918484267
TCGA.AC.A2B8,-2.6392309723291008,6.2278937618043875,1.014065871160124,0.01860312240440589,-1.090508199976546
TCGA.AC.A2BK,9.094707344361545,-17.20695981652535,-15.413903119309353,8.311577980852938,-0.48507376367002936
TCGA.AC.A2BM,-4.244214332186296,-1.2118905180484199,-3.248810747593163,4.980224066682439,-2.9408503586733863
TCGA.AC.A2FB,-2.470929262628058,4.172581202007479,-5.959888963666085,4.571148479526443,-0.23852085621659824
TCGA.AC.A2FE,-7.3518750102636305,7.8238020701455415,-6.81796614590162,6.226861429839627,0.12878610081534844
TCGA.AC.A2FF,-8.781572221244637,9.10455599970163,-2.319111072897582,-1.348447453540232,-0.6933326177067076
TCGA.AC.A2FG,-13.574478380637135,0.4257257017681546,2.856551756873729,-2.0055277999180263,2.2361908702296533
TCGA.AC.A2FM,-5.797155270611427,0.23187873413630133,-5.76899781980374,4.446738904680623,0.4196063677185764
TCGA.AC.A2FO,-9.11907412788604,3.2606300135550015,-5.418308643517676,6.373817706793259,-1.6672171558382982
TCGA.AC.A2QH,5.436859682129244,29.18963611200957,-13.182113691204483,-2.612470886369499,-14.866853899730499
TCGA.AC.A2QI,-11.152937203838697,1.9972714442603792,-3.752775544055579,4.569135160761975,-1.9824945591385046
TCGA.AC.A2QJ,3.2898483942319516,16.035507944696885,-9.427171434158835,-0.5667082312341633,-4.310309336770983
TCGA.AC.A3BB,-9.781392847975845,7.945541314526392,-5.853701617882172,5.277338664332338,0.08949165474904891
TCGA.AC.A3EH,6.97460207781492,6.173366217119128,-0.21208129423871744,2.0393157006137734,-7.537636861491455
TCGA.AC.A3HN,-14.73525990103949,7.232378813765399,-5.482758370976233,1.32454109188053,0.21302931289309995
TCGA.AC.A3OD,-9.556799889949145,-2.8729323091962438,-3.644767665542784,1.231405320570285,2.041689368869794
TCGA.AC.A3QP,-7.898067275210132,3.9316315264939945,-4.714746853450758,0.435645700618235,1.151272394625365
TCGA.AC.A3QQ,-6.491689063036851,2.2455077022154217,-1.8757096814404253,2.333872784061657,0.9759487023926139
TCGA.AC.A3TM,-6.50061689730101,3.6334554534386028,-2.6940759469184345,0.08251997514994457,0.3702436139486859
TCGA.AC.A3TN,-4.309624445683886,4.171464613094568,0.9663708801393458,2.3000228355542083,0.5106275844565364
TCGA.AC.A3W5,4.942783055805328,5.749130011088678,-2.942599944755865,3.3363776392971287,-3.2210818634645233
TCGA.AC.A3W6,-6.917630904557133,5.959424289812099,-3.4107075721549505,3.9083671063142575,-0.1491421902555613
TCGA.AC.A3W7,-4.490670145889891,4.4920644045667775,-0.4993257261064204,2.235884177863384,2.1047549737892606
TCGA.AC.A5XS,-3.079471721473982,-1.0225631383147733,-1.93175669842227,4.367924577065986,2.540728501513532
TCGA.AC.A62Y,-3.7292194435818153,-2.7092541641885957,0.38665067857889673,3.3223003113166554,3.2067574877102825
TCGA.AO.A1KP,5.707426586148802,5.850092528955289,4.744766254577787,-2.564149518830345,12.516042486288596
TCGA.AO.A1KQ,6.348108778433158,-4.005181523207593,3.2841963300583568,-1.4571677917348016,-4.9394694543567566
TCGA.AO.A1KR,25.336488867499543,-1.4577191846548672,-3.474606263007635,3.804878148783415,3.1970415077428918
TCGA.AO.A1KS,6.9048743847016825,-4.109899406478267,1.6633841066982467,0.8019302755179304,-1.912650619473786
TCGA.AO.A1KT,9.391032546502986,7.796296136051486,3.0382526282841136,0.5730489326253352,2.5398699173691126
TCGA.AQ.A0Y5,-13.2115484015557,2.216781455014524,-3.854688834793653,-8.162843394085755,-6.66349473100505
TCGA.AQ.A1H2,9.036491881958165,-4.283243453810365,12.057824638979646,7.405891629956606,2.9760423703678325
TCGA.AQ.A1H3,-0.7650290327840967,7.047336462468171,3.707710757503858,4.175561655824129,3.905929940607404
TCGA.AQ.A54N,5.509337036135985,-23.112154119037456,-7.074970346652533,6.087610883957198,4.118724137955441
TCGA.AQ.A54O,-4.361485856932397,0.9011228938642438,2.150049185993051,-0.4435560563218015,2.468613595445039
TCGA.AR.A1AI,14.851923728277322,-11.045285569604417,-4.515474519568983,0.9242480673266893,-3.7179325463740187
TCGA.AR.A1AJ,14.75451740822264,7.476775591330996,-3.7362353690173618,-1.789815812741561,2.1898222434634316
TCGA.AR.A1AM,-7.758528799395699,7.06813036548265,-4.820761097071455,-0.16499048029364372,1.8392662865589764
TCGA.AR.A1AN,7.838744595362386,13.73291709070734,4.827206989149243,3.494022518401649,2.158646499823929
TCGA.AR.A1AP,-1.2038287382475725,0.3207240599750263,2.4085026758295487,-0.4917377083555632,-1.7459490949942182
TCGA.AR.A1AQ,15.750708718673524,-6.960331864026046,-4.885492433291991,0.6444115323822357,-0.5162314007015246
TCGA.AR.A1AR,19.986420617835787,4.928943692783081,-3.0439934352084417,3.1774223963983714,4.838918150582499
TCGA.AR.A1AS,3.2893914200582968,-1.2705354711004928,7.448199110728928,-1.912728012584822,-0.6692884061093793
TCGA.AR.A1AU,1.5069561620851966,2.9597241405262324,-1.058666435843966,-1.9700687817698512,7.143063561451955
TCGA.AR.A1AV,0.2002234526372744,0.3844335760198515,9.836982007710485,2.0165597561820277,3.77319602686419
TCGA.AR.A1AW,15.010426186463153,1.992874108776433,3.4934145720144283,8.402026563343348,3.7250100750866952
TCGA.AR.A1AX,-8.629230532672095,-0.20616599952169873,-5.569076186893959,-1.0124543740058267,-2.22568541215315
TCGA.AR.A1AY,5.242614964647535,-5.223866295631298,-3.5749780045557236,-2.063023831931697,-3.4965845262086566
TCGA.AR.A24K,-23.477554106781753,-7.790846509930805,-1.0478007974504713,-10.562823964896157,-4.154547683079291
TCGA.AR.A24L,-2.4636501841423004,4.361725828647118,-0.7765034430671072,-11.979918019461282,9.527184689930595
TCGA.AR.A24M,-10.034138594969813,-0.16216336580073631,5.273778471815839,-5.6093622494748985,0.6066177034829243
TCGA.AR.A24N,3.5963248910875154,0.6234986992598064,8.329486377900189,-0.9571271469079691,-2.5888183068271537
TCGA.AR.A24O,-4.979559022058643,2.7748637264491394,2.582635317839277,-1.819107078257019,0.6730704498664059
TCGA.AR.A24P,-0.32620079126650886,6.620142786464805,5.203731585153708,-1.703111771519191,1.9458181647959523
TCGA.AR.A24Q,9.630820308210534,0.30590644415967494,-0.6041768073586746,-1.4418286278446668,-0.47134964308512506
TCGA.AR.A24R,10.728952690004977,-2.7454781110779294,3.9180490996701907,2.722263603874504,1.155723564988565
TCGA.AR.A24S,5.719511052429115,1.2256982476432348,-0.6923729113381006,-2.0087791041535468,-1.2735448591932812
TCGA.B6.A1KC,-7.785382188273924,-8.701722203117692,-6.047049290106536,-0.2899852139311619,-6.217985645784846
TCGA.B6.A1KF,13.664200890808212,-4.953105710825115,-3.498275933373566,-3.825783501109937,-6.235945777103721
TCGA.B6.A1KI,-5.919024731588641,4.890125956152554,6.6217333142587975,-5.129919889267057,3.8587064525033234
TCGA.B6.A1KN,6.41913105853276,-0.10012543428704512,2.485920964405136,0.8559790295487539,-3.0480095791937503
TCGA.B6.A2IU,-9.800609851836946,2.169395692164306,-4.1848090595259055,7.816487375834224,1.0772315334273426
TCGA.BH.A0AU,-0.6740630177983449,3.21196522366896,2.500591421106929,-5.235600751295494,-0.12371684155522551
TCGA.BH.A0AZ,-5.182361650419846,7.149512005418104,3.194956822447187,-3.544940809761996,0.5081426433567012
TCGA.BH.A0B5,-6.889331202045744,1.6665249497153651,2.256037136477869,-3.155697569666676,2.3213939669837607
TCGA.BH.A0B6,-4.74253948926359,0.5169779287867233,-4.9628598980544,7.16080759820896,-2.638993611189705
TCGA.BH.A0BF,2.4706021313212956,4.029521704393254,1.087638542353675,-3.517535724329134,-1.8917967694803535
TCGA.BH.A0BS,-2.442762839550538,0.07654430735451105,8.715925508442883,2.520633700155226,4.728540471007806
TCGA.BH.A0BZ,-5.421745696100238,8.520115699445439,-0.5502441961488825,-0.9473186670039084,4.8634819787957
TCGA.BH.A0C3,5.538804804475929,6.207729257483115,1.9779888965692918,0.025209007816050115,1.2610640220776632
TCGA.BH.A0DD,4.968535892440222,-4.973639537985417,3.573926391745039,-1.860760830721846,-4.637304977334223
TCGA.BH.A0DG,-2.050329535733503,1.2525558157777454,2.831678190521621,-0.9267327851946121,-1.4918361895649996
TCGA.BH.A0DI,-2.9804181225203594,10.31658458628089,-0.10985455501593328,-3.488653258567526,-1.84704402908265
TCGA.BH.A0DV,-2.1619324736885708,14.146404821660882,4.447195321378367,1.4182978443781578,1.2329867885409422
TCGA.BH.A0E2,-9.37136630557044,-3.3032793146436568,-3.6290743097663416,-2.5164489291589756,-3.268706733162765
TCGA.BH.A0H3,-0.013946692108067838,13.259942258181999,4.239166379147173,2.5222884146261815,4.6734876800567315
TCGA.BH.A0HA,3.4416154034992705,1.5474322987659834,7.415458062059627,3.7051661840329477,0.6714398405165795
TCGA.BH.A0HN,-1.8136720547534628,-6.432779393182454,4.585987567694935,4.324755868298108,0.04114462046176555
TCGA.BH.A1EN,4.153946238356849,-2.0532721902526765,5.683101273234948,2.779787172172484,1.0199940860869068
TCGA.BH.A1EO,-7.7408563349820785,4.640374278073389,0.5424553633361906,-2.836954839287341,2.592955337453239
TCGA.BH.A1ES,6.622664996515209,-0.11526101813071828,5.83495818513086,2.971099187181782,1.5895846633553194
TCGA.BH.A1ET,-3.4528628626955458,2.632020137915611,5.553849281173851,0.7684289828620982,1.155617534710397
TCGA.BH.A1EU,4.276779369909234,10.291502317050272,2.7488966107147,2.4751211348338202,5.615553124412252
TCGA.BH.A1EV,10.907677287026095,4.890480610652522,9.12491428780195,2.4863115611513975,-1.6611463636012442
TCGA.BH.A1EW,0.43514800192780717,3.5067229183853734,-0.1205098891135662,2.895718414422722,-2.561532546078086
TCGA.BH.A1EX,4.783892842989265,4.794323805875292,5.066153166297871,2.9930401274396483,1.9216930638207257
TCGA.BH.A1EY,-0.09173015108606222,4.67731081251903,4.374965102797187,-2.264715798946488,-5.009582996772847
TCGA.BH.A1F0,15.441971725892454,10.202512499946478,-1.5086992003348274,5.9166569111950515,1.6117633148437729
TCGA.BH.A1F2,5.479698147436848,8.404087318269527,3.036845628007792,-2.113941264548206,-2.3263453008121324
TCGA.BH.A1F5,0.09094153960788272,-4.532435696310392,4.587918245062717,-1.28918825495163,2.2322927625757165
TCGA.BH.A1F6,9.597856448217048,-2.78006441280635,-5.908896675531741,-3.8374456732098134,-0.3765642196446277
TCGA.BH.A1F8,3.9652832685139017,1.9372858284474768,4.453302647952236,-4.996968732566734,-3.9823508684909315
TCGA.BH.A1FB,-6.340169000783104,4.852487907255044,-1.730144478511556,-3.6667840845756476,0.24965521375123528
TCGA.BH.A1FC,19.0834550596807,-9.586315923645166,-0.03274215439562461,7.392157182995759,-0.3223165510818544
TCGA.BH.A1FE,4.740371333261397,9.54041531418953,-0.6625455056722667,2.3713471290838086,-0.903471122039203
TCGA.BH.A1FG,-8.492055424529413,-3.353936034938783,1.3224489242694306,-2.76233237184539,0.5658990427611613
TCGA.BH.A1FH,-11.886141166521364,10.918919758068544,0.6393243469698848,-5.528226380850009,-0.4261644964681541
TCGA.BH.A1FJ,-1.2039055217898296,-8.631379987595963,5.727688024053833,-0.9319277718744005,-0.6552877905784544
TCGA.BH.A1FL,-2.4387951900893876,-1.3531378355876382,5.775575238874222,4.271072867306381,4.792752664525905
TCGA.BH.A1FM,5.31677968656334,-0.22790765803081753,5.893463788324803,-2.7992595255715833,-4.13121171217057
TCGA.BH.A1FN,6.846278072257342,-2.491528736632365,0.9083009368564376,0.48599424630884647,-4.595377356855065
TCGA.BH.A1FR,2.1470056475386,-4.033680194647064,5.942213019400743,1.6786297808644373,1.8749114673213134
TCGA.BH.A201,4.8462395661180695,14.76590286043229,2.995378007245076,-0.13053463972986806,0.44500954736010606
TCGA.BH.A202,10.123834521061044,5.719735292835624,6.02041405101304,-1.2202786328095978,-1.925356366426677
TCGA.BH.A203,-5.73604506516516,-3.4995953400962456,-8.332014871667678,-3.549355844458329,-8.68993225872073
