,RNAseq_PC1,RNAseq_PC2,RNAseq_PC3,RNAseq_PC4,RNAseq_PC5
TCGA.AR.A24Q,-28.47733484445117,-0.3063289495741648,-6.0036755564303945,-1.9576311032272566,14.112622815397138
TCGA.AR.A24R,9.869481590763646,-2.242777234516986,3.780221827186019,11.106219759569283,5.934963169584753
TCGA.AR.A24S,-0.22984405065590222,4.319395323321586,11.100040331691407,-0.2306965275617238,4.79064397065984
TCGA.B6.A1KC,19.011442280341658,-22.682824919184338,-8.836268569374774,19.09433171681415,19.146328141286894
TCGA.B6.A1KF,-27.785345091506407,-21.223589152275853,-19.36111567307446,-16.073845283498155,-2.881877057803101
TCGA.B6.A1KI,15.594851411257864,2.730445028991717,-5.043108435696078,-9.35251935543065,-6.010949005689408
TCGA.B6.A1KN,-1.9589451564749414,-0.7062108680915199,6.5600301250290896,-5.265296934951545,0.5416804065075764
TCGA.B6.A2IU,17.531592763115455,4.123807577358493,-10.726026431295288,-2.437304255679838,-6.62096620763794
TCGA.BH.A0AU,7.501333040413462,2.506974593727285,2.443736197398359,4.9076949763445645,6.458820856537822
TCGA.BH.A0AZ,4.554681621360541,12.144286025908322,-4.16740142498922,-9.380963004223117,5.8450162974161355
TCGA.BH.A0B5,9.547433695310303,12.218255755827455,1.4883475049326609,-3.8684988472437993,1.8184726013516013
TCGA.BH.A0B6,-0.6987583878871315,12.256132985765651,15.68685351468009,12.283623029495079,-6.294726589248575
TCGA.BH.A0BF,-4.90067795296468,9.921109104720683,15.201764568282897,3.6043523468287892,2.1762529128255768
TCGA.BH.A0BS,17.973077316957184,-7.816249489251007,-6.317408059650695,-9.873392569597652,-4.9930776996268875
TCGA.BH.A0BZ,-3.0546790054283512,-4.661116198556305,16.36899591682921,6.673500308606346,2.03413223611548
TCGA.BH.A0C3,2.817205686122526,14.185582594206897,6.248335572423102,7.103445412911475,7.815301797718629
TCGA.BH.A0DD,13.826560446595405,-12.769763419891168,6.390026871846774,2.610551222411631,4.391795963827027
TCGA.BH.A0DG,-1.4157386594954955,13.794996548214552,4.549244038485579,-3.4389518427089834,7.227119246218545
TCGA.BH.A0DI,-3.9165043827534594,15.726451181218604,1.1470859533861688,-4.82991509265674,9.940177325744202
TCGA.BH.A0DV,4.075555211808345,22.532991039387557,-3.622805385824268,-10.024444711498433,5.855078353523474
TCGA.BH.A0E2,2.7859896047280475,-0.5222938456636961,-1.8939877387860908,0.30493935762172447,7.9470447853109185
TCGA.BH.A0H3,3.3568956092731086,14.671573371870325,-2.8582340111648614,-6.038398397280625,8.842835546717676
TCGA.BH.A0HA,8.009207639019534,8.970539837567406,2.673107179104077,2.91715928413976,1.15841008725605
TCGA.BH.A0HN,24.08643441328337,-16.396258139784962,-7.167182925208123,-1.5803404373090535,-21.06344918606521
TCGA.BH.A1EN,2.5206557402401395,-22.79963522070961,8.083373929649452,-9.38892888074408,-3.0567518243598544
TCGA.BH.A1EO,4.731060364985662,1.4194286984720492,8.481446519045681,-6.457676934515447,11.705994036729958
TCGA.BH.A1ES,8.987316610925571,-12.252715599777591,-9.294755091318763,-7.569949005309961,16.685376894789858
TCGA.BH.A1ET,16.583292289406423,6.457647783624771,1.4083198085622954,-7.014531743108901,0.6499723171982524
TCGA.BH.A1EU,4.72424343930218,23.65971957041295,1.6209126637042088,3.4883538562955714,8.68434890463164
TCGA.BH.A1EV,9.238575948527789,-9.390726477254944,3.6626388315562393,-19.720859360528337,-9.08710832057601
TCGA.BH.A1EW,4.929713140323727,8.976461513139784,4.208094572502123,3.811480948345504,3.158701747566791
TCGA.BH.A1EX,-2.1411301328207872,3.626407109231401,11.666141954731682,-13.244509539087785,-2.7382409007455366
TCGA.BH.A1EY,5.173925285751159,3.3144101321925654,14.818178123379454,-1.9884549816969637,-2.2843071459191044
