,MOFA_RNAseq_Factor1,MOFA_RNAseq_Factor2,MOFA_RNAseq_Factor3,MOFA_RNAseq_Factor4,MOFA_RNAseq_Factor5
TCGA.AC.A2FM,1.9140551931898464,-0.3330309683473241,-1.7476813704596816,1.6079255718129488,0.9788672631551972
TCGA.AC.A2FO,0.7978652513531547,3.318308800305487,0.40734524403248434,0.8087604421422857,0.4730928747630422
TCGA.AC.A2QH,-2.0524560820753956,-2.213108920353539,-2.471613689789573,-0.5781059671673587,3.046304114987301
TCGA.AC.A2QI,0.9233611748508912,1.028916303794459,0.5767146176124616,-0.08185599567863536,-0.7294383513403858
TCGA.AC.A2QJ,-2.830056091067652,-0.7724327242097874,-1.413902834518088,0.8295180729520715,-2.526359394004096
TCGA.AC.A3BB,0.9799345282308272,3.24751252892191,0.8164720688018838,0.5294605943274661,-1.3298676665307687
TCGA.AC.A3EH,0.8523997094587092,-0.7267511701368962,-0.1271836279903182,-1.4241067485039873,-1.8207379505015546
TCGA.AC.A3HN,0.7307450602128713,3.0259351960677456,-0.1374358521920991,-0.7124795045891672,-0.22442363220265493
TCGA.AC.A3OD,0.16083687706961192,2.873418502410713,0.3447394145166247,0.6425848281850681,0.38344153056774855
TCGA.AC.A3QP,0.523795663054752,2.013954628625258,-1.6102745516697634,-0.14456559938702268,-2.0601323754065373
TCGA.AC.A3QQ,1.344723109149629,1.3021005742858054,-1.2290881079435798,1.3810477105932033,-3.440143628814488
TCGA.AC.A3TM,0.9908513581392867,1.6279411206310281,-1.3329643008753473,1.0977804684063792,-3.4605014281891844
TCGA.AC.A3TN,2.034283202626438,0.5015344815520287,-1.4637739962324685,0.35888783153328235,-2.877933151267031
TCGA.AC.A3W5,-0.8641852629588322,0.7726042256861498,2.3991270717942363,-1.29540845927969,-1.7713296486566685
TCGA.AC.A3W6,1.000101419076809,1.9700222372222111,1.3387964486799084,0.08537628090892029,-0.9966587386637974
TCGA.AC.A3W7,0.8407923153225161,2.4331842443961813,-1.5674845247855023,-1.486816484158288,-1.4623084865352562
TCGA.AC.A5XS,0.6383467964523458,1.8743590817891775,0.2887385777282325,1.3345194876973157,-2.2353130313235665
TCGA.AC.A62Y,1.722733380870162,0.04744038826982448,-0.27889838121046817,0.7740388576868951,-1.3117909503585425
TCGA.AO.A1KP,1.4271190120724457,-1.9408245089219076,-1.0891823225213852,-0.4540963148952371,0.12159702001627684
TCGA.AO.A1KQ,1.0423137021212527,-0.8078786526633761,1.9680046741328225,2.1521295428459473,-0.4508525692907548
TCGA.AO.A1KR,-3.2441516514040845,-0.887156004421914,-1.5030343497546212,1.4803208808768311,-1.966773949334321
TCGA.AO.A1KS,0.5759927917910711,-0.16360309871042794,0.5556770589232044,-0.4015673062417104,2.1262774684162515
TCGA.AO.A1KT,0.6050783128457489,-1.3548208047338324,-0.04068976463102438,-0.790115797571005,-0.21661149694552687
TCGA.AQ.A0Y5,0.253194559403795,-2.286646561319704,-0.0982077980631169,-2.662190756464397,0.4167014347611883
TCGA.AQ.A1H2,1.9016627702435445,-2.6785401716274606,0.05096777362340096,0.5208422248512395,-1.0883892828693975
TCGA.AQ.A1H3,1.1152073423030222,2.0811996189239865,0.347446859128832,-0.5235294627529549,0.4813450666844751
TCGA.AQ.A54N,-3.780334942354039,-2.6180513511467782,-4.073340619900892,2.448060539542368,-2.6028889635677013
TCGA.AQ.A54O,1.8396616663036158,-1.0796062370871176,-0.5694369019119186,2.280662738823974,-2.2733392740730123
TCGA.AR.A1AI,-4.521644414392446,-1.6062045962395464,1.3518876387906753,1.5509936996636204,0.19333769454037725
TCGA.AR.A1AJ,-3.7399415937509533,1.3659805574233832,1.3981342299051966,1.1656988424808026,0.5019752340981313
TCGA.AR.A1AM,0.7031530026502653,2.890172778966613,-0.9632164326228052,-0.5328378966886919,-0.7698336645032375
TCGA.AR.A1AN,1.2265051100970217,0.8273918367023876,-0.08268828081029637,-0.8003636358635554,0.37285803641787246
TCGA.AR.A1AP,0.4862957811037264,0.52708625790454,0.1815932145767154,-0.7294930257489644,-0.3055746462652775
TCGA.AR.A1AQ,-4.396608510680974,-0.5239879793209952,1.1646159060334913,1.3110099211672162,0.15809466113610718
TCGA.AR.A1AR,-3.112805190746624,-0.2659336149362419,1.1052841326960499,0.5606402114985339,1.5538457099963672
TCGA.AR.A1AS,0.9861269866196275,-3.318804689764783,-1.1094520936086445,-2.14395394080869,-1.8688591190689454
TCGA.AR.A1AU,0.5808150304711549,2.0111971598248215,-2.329629361406512,-0.20942494311254092,1.3267529883171372
TCGA.AR.A1AV,2.1142970361255538,-2.2510433655402675,-0.13080975806792058,-1.1389183099995184,0.47443430510046425
TCGA.AR.A1AW,-0.421937546882815,1.3036776944523534,3.7422889751430035,2.124871573408931,0.6050782040262612
TCGA.AR.A1AX,-0.1462129142608619,2.5557033548662402,2.196686364946869,0.29483019266763005,0.33837742031977514
TCGA.AR.A1AY,-3.8504355899647096,-1.3746507752713335,-2.8966938668243563,-0.7251693760861545,1.5139571604769844
TCGA.AR.A24K,1.4367600814033006,-2.850042941926514,-0.2622411024115089,-1.2315907368826327,0.3027608981738618
TCGA.AR.A24L,1.2194835498962782,-0.2569377705752966,-1.0216796060567999,-0.606878995517526,2.7138885855682355
